date_time,maxtempC,mintempC,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
01-12-2017,29,17,8.7,6,86,3:56 PM,4:04 AM,6:58 AM,5:33 PM,4,22,22,22,11,0,31,0,1016,29,10,110,6,Jaipur
02-12-2017,28,16,8.7,6,93,4:43 PM,5:08 AM,6:59 AM,5:33 PM,3,21,21,21,12,1,32,0,1017,28,10,124,7,Jaipur
03-12-2017,28,16,8.7,6,100,5:35 PM,6:15 AM,7:00 AM,5:33 PM,3,21,21,21,9,8,32,0,1016,28,10,147,5,Jaipur
04-12-2017,25,17,8.7,6,100,6:31 PM,7:23 AM,7:01 AM,5:33 PM,3,21,21,21,9,33,31,0,1015,25,10,136,5,Jaipur
05-12-2017,24,19,7.1,5,85,7:33 PM,8:29 AM,7:01 AM,5:33 PM,6,21,21,21,9,66,40,0.1,1015,24,10,173,6,Jaipur
06-12-2017,22,19,8.7,5,77,8:37 PM,9:31 AM,7:02 AM,5:34 PM,1,20,20,20,8,45,29,0,1015,22,10,93,5,Jaipur
07-12-2017,27,17,8.7,6,70,9:42 PM,10:28 AM,7:03 AM,5:34 PM,-2,20,20,21,11,22,23,0,1016,27,10,16,7,Jaipur
08-12-2017,28,15,8.7,6,63,10:45 PM,11:19 AM,7:04 AM,5:34 PM,-4,20,20,20,10,1,19,0,1016,28,10,201,6,Jaipur
09-12-2017,29,15,8.7,6,56,11:46 PM,12:04 PM,7:04 AM,5:34 PM,3,21,21,21,7,0,31,0,1015,29,10,165,4,Jaipur
10-12-2017,29,16,8.7,6,48,No moonrise,12:44 PM,7:05 AM,5:34 PM,7,22,22,21,7,2,39,0,1015,29,10,150,4,Jaipur
11-12-2017,27,16,8.7,5,41,12:44 AM,1:22 PM,7:06 AM,5:35 PM,8,20,20,20,16,18,48,9.3,1014,27,9,176,10,Jaipur
12-12-2017,23,15,8.7,5,34,1:40 AM,1:58 PM,7:06 AM,5:35 PM,8,18,19,18,11,3,54,0.4,1015,23,10,236,7,Jaipur
13-12-2017,24,14,8.7,5,27,2:34 AM,2:33 PM,7:07 AM,5:35 PM,7,18,18,18,11,1,50,0,1018,24,10,38,7,Jaipur
14-12-2017,23,13,8.7,5,19,3:27 AM,3:10 PM,7:08 AM,5:36 PM,3,16,17,16,16,8,42,0,1020,23,10,41,9,Jaipur
15-12-2017,23,12,8.7,5,12,4:20 AM,3:47 PM,7:08 AM,5:36 PM,1,16,17,16,19,12,34,0,1022,23,10,26,11,Jaipur
16-12-2017,24,13,8.7,5,5,5:13 AM,4:26 PM,7:09 AM,5:36 PM,-2,17,17,17,18,0,28,0,1023,24,10,178,10,Jaipur
17-12-2017,25,13,8.7,5,0,6:04 AM,5:08 PM,7:09 AM,5:37 PM,-6,18,18,18,16,0,20,0,1023,25,10,343,9,Jaipur
18-12-2017,28,14,8.7,6,0,6:56 AM,5:53 PM,7:10 AM,5:37 PM,-7,19,19,19,18,0,16,0,1022,28,10,331,10,Jaipur
19-12-2017,27,14,3.9,5,2,7:45 AM,6:39 PM,7:10 AM,5:38 PM,-6,19,19,19,15,62,18,0,1021,27,10,300,8,Jaipur
20-12-2017,26,16,8.7,6,10,8:32 AM,7:29 PM,7:11 AM,5:38 PM,-4,20,19,20,13,30,21,0,1021,26,10,19,7,Jaipur
21-12-2017,27,15,8.7,6,17,9:18 AM,8:20 PM,7:12 AM,5:38 PM,-1,20,20,20,14,29,25,0,1021,27,10,97,8,Jaipur
22-12-2017,26,14,8.7,6,24,10:00 AM,9:12 PM,7:12 AM,5:39 PM,-1,19,19,19,16,32,26,0,1020,26,10,340,9,Jaipur
23-12-2017,27,15,8.7,6,31,10:39 AM,10:05 PM,7:13 AM,5:40 PM,1,19,19,19,13,0,30,0,1017,27,10,294,8,Jaipur
24-12-2017,27,14,8.7,6,39,11:18 AM,10:58 PM,7:13 AM,5:40 PM,2,20,19,20,8,0,32,0,1016,27,10,136,4,Jaipur
25-12-2017,26,14,8.7,6,46,11:54 AM,11:53 PM,7:13 AM,5:41 PM,1,19,19,19,13,0,30,0,1018,26,10,179,7,Jaipur
26-12-2017,27,14,8.7,6,53,12:30 PM,No moonset,7:14 AM,5:41 PM,1,19,19,19,7,3,32,0,1018,27,10,194,4,Jaipur
27-12-2017,26,14,8.7,6,61,1:08 PM,12:49 AM,7:14 AM,5:42 PM,1,19,18,19,6,5,32,0,1017,26,10,204,3,Jaipur
28-12-2017,27,12,8.7,6,68,1:48 PM,1:47 AM,7:15 AM,5:42 PM,3,19,19,19,10,3,37,0,1018,27,10,110,5,Jaipur
29-12-2017,26,14,8.7,6,75,2:30 PM,2:47 AM,7:15 AM,5:43 PM,4,19,19,19,12,0,39,0,1018,26,10,107,7,Jaipur
30-12-2017,26,13,8.7,6,82,3:18 PM,3:51 AM,7:15 AM,5:44 PM,4,18,19,18,11,0,40,0,1018,26,10,85,6,Jaipur
31-12-2017,25,13,8.7,6,86,4:11 PM,4:57 AM,7:16 AM,5:44 PM,2,18,18,18,9,2,37,0,1016,25,10,147,5,Jaipur
01-01-2018,23,11,8.7,5,97,5:10 PM,6:04 AM,7:16 AM,5:45 PM,2,16,17,16,13,1,39,0,1015,23,10,147,7,Jaipur
02-01-2018,23,11,8.7,5,100,6:14 PM,7:10 AM,7:16 AM,5:46 PM,0,16,16,16,10,0,34,0,1016,23,10,120,6,Jaipur
03-01-2018,25,11,8.7,5,89,7:21 PM,8:11 AM,7:16 AM,5:46 PM,2,16,16,16,7,0,39,0,1016,25,10,164,4,Jaipur
04-01-2018,22,11,8.7,5,81,8:27 PM,9:06 AM,7:17 AM,5:47 PM,2,16,16,16,13,0,41,0,1015,22,10,135,8,Jaipur
05-01-2018,25,11,8.7,5,74,9:32 PM,9:56 AM,7:17 AM,5:48 PM,2,17,17,17,9,0,37,0,1015,25,10,146,5,Jaipur
06-01-2018,23,11,8.7,5,67,10:33 PM,10:40 AM,7:17 AM,5:48 PM,2,16,16,16,10,3,40,0,1014,23,10,129,6,Jaipur
07-01-2018,23,12,8.7,5,59,11:32 PM,11:21 AM,7:17 AM,5:49 PM,0,16,16,16,16,0,34,0,1016,23,10,166,9,Jaipur
08-01-2018,24,11,8.7,5,52,No moonrise,11:59 AM,7:17 AM,5:50 PM,-1,16,16,16,8,0,32,0,1018,24,10,158,4,Jaipur
09-01-2018,26,10,8.7,5,45,12:28 AM,12:35 PM,7:17 AM,5:51 PM,-1,17,17,17,9,0,30,0,1020,26,10,100,5,Jaipur
