SNO,City,Cite,Site_Code,State,Query ID,,,Date,,pm2.5,pm10,AT,BP,SR,RH,WD,RF,NO,Nox,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene
1,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171201,,,01-Dec-2017,,54.29,101.97,,,,,,,8.25,18.41,10.16,18.19,,,117.61,2.08,,0.25,2.31,0.85
2,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171202,,,02-Dec-2017,,60.08,126.08,,753.93,,15.65,169.13,,8.98,17.62,8.64,18.23,7.11,1.12,70.4,5.32,,1.52,5.77,1.55
3,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171203,,,03-Dec-2017,,63.76,140.49,,754.2,,14.84,132.15,,15.33,23.69,8.44,16.82,8.9,1.26,64.86,5.4,,2.31,6.51,2.03
4,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171204,,,04-Dec-2017,,70.86,163.65,,753.2,,15.04,162.92,,12.56,23.39,10.83,17.06,7.18,0.99,52.12,4.82,,3.38,7.84,2.26
5,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171205,,,05-Dec-2017,,66.84,151.68,,753.42,,14.45,129.1,,8.74,16.51,7.76,18.36,6.61,0.79,62.85,3.91,,1.08,4.5,1.41
6,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171206,,,06-Dec-2017,,66.56,138.9,,753.23,,13.9,102.2,,8.83,15.76,6.93,18.45,9.85,0.77,54.56,3.67,,0.38,3.08,1.02
7,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171207,,,07-Dec-2017,,59.88,138.73,,753.68,,13.43,72.6,,15.07,23.59,8.62,16.81,10.13,1.37,31.71,5.99,,2.61,7.69,2.33
8,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171208,,,08-Dec-2017,,77.45,186.41,,753.91,,14.72,166.35,,19.71,27.55,7.92,15.9,10.42,1.87,39.26,10.67,,4.81,11.64,4.19
9,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171209,,,09-Dec-2017,,74.84,177.27,,753.35,,14.28,130.19,,20.61,29.32,8.8,15.54,6.13,1.51,34.19,10.03,,5.05,10.92,3.36
10,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20171210,,,10-Dec-2017,,60.83,111.6,,753.27,,14.06,127.02,,9.19,16.45,7.27,18.3,5.03,0.76,69.73,3.85,,1.45,4.31,1.42
